County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Masaac,02,061,02061,020610010262010,Massac UD 1,Brookport Elementary School,177,5,0,0,0.9717514124293786,12,0,0,0,0,3,12,3,0.8,02061
Masaac,02,061,02061,020610380260001,Joppa-Maple Grove UD 38,Joppa Jr & Sr High School,99,0,0,0,1,99,0,0,0,0,0,99,0,1,02061
Masaac,02,061,02061,020610380262001,Joppa-Maple Grove UD 38,Maple Grove Elem School,166,1,0,0,0.9939759036144579,24,1,0,3,0,0,24,4,0.8571428571428571,02061
Pulaski,02,077,02077,020771000260001,Century CUSD 100,Century Jr/Sr High School,221,5,0,5,0.9773755656108597,202,15,0,1,0,3,202,19,0.9140271493212669,02077
Pulaski,02,077,02077,020771010260001,Meridian CUSD 101,Meridian High School,132,0,1,0,0.9924242424242425,131,1,0,0,0,0,131,1,0.9924242424242424,02077
Pulaski,02,077,02077,020771010262005,Meridian CUSD 101,Meridian Elementary School,409,0,1,0,0.9975550122249389,118,1,0,0,0,0,118,1,0.9915966386554622,02077
Union,02,091,02091,020910160042001,Lick Creek CCSD 16,Lick Creek Elem School,125,0,0,0,1,31,1,0,0,0,0,31,1,0.96875,02091
Union,02,091,02091,020910170220001,Cobden SUD 17,Cobden High School,171,2,1,3,0.9824561403508772,168,0,0,1,0,2,168,3,0.9824561403508771,02091
Union,02,091,02091,020910170221001,Cobden SUD 17,Cobden Jr High School,143,1,1,2,0.986013986013986,140,0,0,2,0,1,140,3,0.9790209790209791,02091
Union,02,091,02091,020910370041001,Anna CCSD 37,Anna Junior High School,320,0,0,0,1,231,1,0,1,0,0,231,2,0.9914163090128756,02091
Union,02,091,02091,020910430042001,County of Union Sch Dist No43,Jonesboro Elem School,430,0,0,0,1,123,1,0,0,0,0,123,1,0.9919354838709677,02091
Union,02,091,02091,020910660220001,Dongola USD 66,Dongola High School,69,0,0,0,1,65,0,0,1,3,0,65,4,0.9420289855072463,02091
Union,02,091,02091,020910660221001,Dongola USD 66,Dongola Jr High School,37,0,0,0,1,37,0,0,0,0,0,37,0,1,02091
Union,02,091,02091,020910660222001,Dongola USD 66,Dongola Elementary School,133,0,0,0,1,14,0,0,2,0,0,14,2,0.875,02091
Union,02,091,02091,020910810160001,Anna Jonesboro CHSD 81,Anna-Jonesboro High School,491,11,0,0,0.9775967413441956,488,2,0,0,0,1,488,3,0.9938900203665988,02091
Union,02,091,02091,020910840260001,Shawnee CUSD 84,Shawnee High School,116,1,0,0,0.9913793103448276,116,0,0,0,0,0,116,0,1,02091
Union,02,091,02091,020910840261002,Shawnee CUSD 84,Shawnee Jr High School,76,1,3,2,0.9473684210526316,75,0,0,0,0,1,75,1,0.9868421052631579,02091
Bond,03,003,03003,030030020260001,Bond County CUSD 2,Bond Cty Comm Unit 2 High School,532,0,0,0,1,526,4,0,2,0,0,526,6,0.9887218045112782,03003
Bond,03,003,03003,030030020261002,Bond County CUSD 2,Greenville Jr High School,303,0,0,0,1,301,2,0,0,0,0,301,2,0.9933993399339934,03003
Bond,03,003,03003,030030020262004,Bond County CUSD 2,Pocahontas Center,231,0,0,0,1,67,1,0,1,0,0,67,2,0.9710144927536232,03003
Bond,03,003,03003,030030020262005,Bond County CUSD 2,Sorento Elem School,172,0,0,0,1,46,0,0,0,0,0,46,0,1,03003
Effingham,03,025,03025,03025002X060000,Nonpublic School,Altamont Lutheran Interparish,136,0,0,0,1,28,0,0,0,0,0,28,0,1,03025
Effingham,03,025,03025,03025004Y100000,Nonpublic School,St Anthony High School,190,0,0,0,1,190,0,0,0,0,0,190,0,1,03025
Effingham,03,025,03025,03025007X100000,Nonpublic School,St Anthony Grade School,404,0,0,0,1,133,1,0,0,0,0,133,1,0.9925373134328358,03025
Effingham,03,025,03025,030250100260001,Altamont CUSD 10,Altamont High School,260,1,0,0,0.9961538461538462,260,0,0,0,0,0,260,0,1,03025
Effingham,03,025,03025,030250100262002,Altamont CUSD 10,Altamont Grade School,488,0,3,3,0.9938524590163935,168,0,1,0,0,0,168,1,0.9940828402366864,03025
Effingham,03,025,03025,030250200260001,Beecher City CUSD 20,Beecher City Jr-Sr High School,191,1,0,1,0.9947643979057591,191,0,0,0,0,0,191,0,1,03025
Effingham,03,025,03025,030250300260001,Dieterich CUSD 30,Dieterich Jr/Sr High School,189,0,0,0,1,187,2,0,0,0,0,187,2,0.9894179894179894,03025
Effingham,03,025,03025,030250300262002,Dieterich CUSD 30,Dieterich Elem School,268,0,0,0,1,27,0,0,0,0,0,27,0,1,03025
Effingham,03,025,03025,030250400260001,Effingham CUSD 40,Effingham High School,781,1,0,0,0.998719590268886,777,2,1,0,0,1,777,4,0.9948783610755442,03025
Effingham,03,025,03025,030250400261001,Effingham CUSD 40,Effingham Junior High School,576,0,0,0,1,571,5,0,0,0,0,571,5,0.9913194444444444,03025
Effingham,03,025,03025,030250500260001,Teutopolis CUSD 50,Teutopolis High School,357,0,0,0,1,355,2,0,0,0,0,355,2,0.9943977591036415,03025
Effingham,03,025,03025,030250500261001,Teutopolis CUSD 50,Teutopolis Junior High School,165,0,0,0,1,162,3,0,0,0,0,162,3,0.9818181818181818,03025
Effingham,03,025,03025,030250500262002,Teutopolis CUSD 50,Teutopolis Grade School,558,0,0,0,1,76,0,0,0,0,0,76,0,1,03025
Fayette,03,026,03026,03026003X060000,Nonpublic School,St Peter Lutheran,56,0,0,0,1,8,0,0,0,0,0,8,0,1,03026
Fayette,03,026,03026,03026007X020000,Nonpublic School,Vandalia Christian Academy,50,0,0,0,1,8,0,0,0,0,0,8,0,1,03026
Fayette,03,026,03026,030262010260003,Brownstown CUSD 201,Brownstown High School,107,0,0,0,1,106,0,0,1,0,0,106,1,0.9906542056074766,03026
Fayette,03,026,03026,030262010261001,Brownstown CUSD 201,Brownstown Jr High School,47,0,0,0,1,47,0,0,0,0,0,47,0,1,03026
Fayette,03,026,03026,030262010262001,Brownstown CUSD 201,Brownstown Elem School,228,0,0,0,1,18,0,0,0,0,0,18,0,1,03026
Fayette,03,026,03026,030262020260002,St Elmo CUSD 202,St Elmo Sr High School,153,0,0,0,1,153,0,0,0,0,0,153,0,1,03026
Fayette,03,026,03026,030262020261001,St Elmo CUSD 202,St Elmo Jr High School,68,0,0,0,1,68,0,0,0,0,0,68,0,1,03026
Fayette,03,026,03026,030262020262001,St Elmo CUSD 202,St Elmo Elem School,270,0,0,0,1,29,0,0,0,0,0,29,0,1,03026
Fayette,03,026,03026,030262030260001,Vandalia CUSD 203,Vandalia Community High School,482,6,1,7,0.9854771784232366,475,2,0,1,1,3,475,7,0.9854771784232366,03026
