County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Unnamed: 55,Unnamed: 56,Region,County
Adams,01,001,01001,01-001-1720-22-0003,Quincy Sr High School,1558,6,5,1,2,1552,0,2,4,0,1558,1548,5,1,4,0,1558,1536,0,18,4,0,1558,1536,0,18,4,0,1558,1536,0,18,4,0,1558,1550,0,4,4,0,1558,0,0,0,0,0,0,0,0,0,0,0,0,,,01,001
Adams,01,001,01001,01-001-1720-22-1003,Quincy Jr High School,1449,6,1,5,3,1442,0,1,6,0,1449,1442,1,0,6,0,1449,1428,0,15,6,0,1449,1428,0,15,6,0,1449,1428,0,15,6,0,1449,1439,0,3,7,0,1449,0,0,0,0,0,0,1447,0,1,1,0,1449,,,01,001
Adams,01,001,01001,01-001-1720-22-2004,Adams Elementary School,349,5,2,3,2,346,1,0,1,1,349,345,2,0,1,1,349,346,1,0,1,1,349,346,1,0,1,1,349,346,1,0,1,1,349,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,1,1,349,,,01,001
Adams,01,001,01001,01-001-1720-22-2006,Dewey Elementary School,249,0,0,0,0,248,0,0,1,0,249,247,0,1,1,0,249,248,0,0,1,0,249,248,0,0,1,0,249,248,0,0,1,0,249,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,1,0,249,,,01,001
Adams,01,001,01001,01-001-1720-22-2007,Ellington Elementary School,333,1,1,0,1,332,1,0,0,0,333,332,1,0,0,0,333,331,1,1,0,0,333,333,0,0,0,0,333,333,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,332,0,1,0,0,333,,,01,001
Adams,01,001,01001,01-001-1720-22-2008,Berrian School,230,5,5,0,5,222,5,1,0,2,230,221,5,2,0,2,230,223,4,1,0,2,230,223,4,1,0,2,230,223,4,1,0,2,230,0,0,0,0,0,0,0,0,0,0,0,0,223,4,1,0,2,230,,,01,001
Adams,01,001,01001,01-001-1720-22-2009,Madison School,399,0,0,0,0,389,0,2,4,4,399,389,0,2,4,4,399,388,0,3,4,4,399,388,0,3,4,4,399,388,0,3,4,4,399,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,2,0,399,,,01,001
Adams,01,001,01001,01-001-1720-22-2016,Monroe Elementary School,270,0,0,0,0,267,0,0,3,0,270,267,0,0,3,0,270,265,0,2,3,0,270,265,0,2,3,0,270,265,0,2,3,0,270,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,3,0,270,,,01,001
Adams,01,001,01001,01-001-1720-22-2017,Washington Elementary School,279,3,2,1,3,274,2,0,1,2,279,272,2,1,1,3,279,274,2,1,0,2,279,277,2,0,0,0,279,277,2,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,277,2,0,0,0,279,,,01,001
Adams,01,001,01001,01-001-1720-22-2019,Baldwin Intermediate,1492,18,3,15,5,1484,2,2,4,0,1492,1484,2,2,4,0,1492,1477,3,8,4,0,1492,1477,3,8,4,0,1492,1477,3,8,4,0,1492,963,2,1,3,0,969,0,0,0,0,0,0,1475,2,12,3,0,1492,,,01,001
