County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,TdapProt,TdapNcNp,TdapMedObj,TdapRelObj,TdapApprSchd,TdapTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Adams,01,001,01001,01-001-1720-22-2008,Berrian School,209,1,0,1,0,205,0,1,0,3,209,203,0,1,0,5,209,0,0,0,0,0,0,205,0,0,0,4,209,205,0,0,0,4,209,205,0,0,0,4,209,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,4,209,01,001
Adams,01,001,01001,01-001-1720-22-2009,Madison School,395,2,0,2,2,389,0,1,4,1,395,384,0,3,4,4,395,0,0,0,0,0,0,388,0,2,4,1,395,388,0,2,4,1,395,388,0,2,4,1,395,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,1,0,395,01,001
Adams,01,001,01001,01-001-1720-22-2016,Monroe Elementary School,268,0,0,0,0,263,0,0,5,0,268,261,0,0,5,2,268,0,0,0,0,0,0,263,0,0,5,0,268,263,0,0,5,0,268,263,0,0,5,0,268,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,5,0,268,01,001
Adams,01,001,01001,01-001-1720-22-2017,Washington Elementary School,279,0,0,0,0,279,0,0,0,0,279,277,0,0,0,2,279,0,0,0,0,0,0,279,0,0,0,0,279,279,0,0,0,0,279,279,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,279,01,001
Adams,01,001,01001,01-001-1720-22-2019,Baldwin Intermediate,1460,12,11,1,4,1453,2,2,3,0,1460,1455,2,0,3,0,1460,465,9,0,1,0,475,1442,2,13,3,0,1460,1442,2,13,3,0,1460,1442,2,13,3,0,1460,966,0,2,2,0,970,0,0,0,0,0,0,1446,2,9,3,0,1460,01,001
Adams,01,001,01001,01-001-1720-22-3004,Early Childhood,519,2,2,0,2,517,0,0,1,1,519,509,2,0,1,7,519,0,0,0,0,0,0,517,1,0,1,0,519,517,1,0,1,0,519,517,1,0,1,0,519,516,0,0,1,2,519,517,0,1,1,0,519,517,1,0,1,0,519,01,001
Adams,01,001,01001,01-001-1720-22-3005,Adams Co Juvenile Detention Cntr,9,0,0,0,0,9,0,0,0,0,9,9,0,0,0,0,9,2,0,0,0,0,2,9,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,5,01,001
Pike,01,075,01075,01-075-0030-26-0002,Pleasant Hill High School,107,0,0,0,0,107,0,0,0,0,107,107,0,0,0,0,107,28,0,0,0,0,28,107,0,0,0,0,107,107,0,0,0,0,107,107,0,0,0,0,107,107,0,0,0,0,107,0,0,0,0,0,0,57,0,0,0,0,57,01,075
Pike,01,075,01075,01-075-0030-26-2001,Pleasant Hill Elem School,202,0,0,0,0,202,0,0,0,0,202,202,0,0,0,0,202,17,0,0,0,0,17,202,0,0,0,0,202,202,0,0,0,0,202,202,0,0,0,0,202,101,0,0,0,0,101,22,0,0,0,0,22,202,0,0,0,0,202,01,075
Pike,01,075,01075,01-075-0040-26-0002,Griggsville-Perry High School,98,0,0,0,0,98,0,0,0,0,98,98,0,0,0,0,98,25,0,0,0,0,25,98,0,0,0,0,98,98,0,0,0,0,98,98,0,0,0,0,98,98,0,0,0,0,98,0,0,0,0,0,0,51,0,0,0,0,51,01,075
