County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Fayette,03,026,03026,030262040262001,Ramsey CUSD 204,Ramsey Elem School,333,0,0,0,1,28,0,0,0,0,0,28,0,1,03026
Boone,04,004,04004,04004001X060000,Nonpublic School,Immanuel Lutheran School,262,0,0,0,1,41,0,1,0,0,0,41,1,0.9761904761904762,04004
Boone,04,004,04004,04004002X100000,Nonpublic School,St James School,126,0,0,0,1,11,0,0,0,0,0,11,0,1,04004
Boone,04,004,04004,04004006P003101,Early Childhood,Got Kidz Child Care Center,39,0,0,0,1,39,0,0,0,0,0,39,0,1,04004
Boone,04,004,04004,040041000262003,Belvidere CUSD 100,Caledonia Elem School,423,0,0,0,1,15,1,0,0,0,0,15,1,0.9375,04004
Boone,04,004,04004,040041000262005,Belvidere CUSD 100,Lincoln Elem School,599,2,3,4,0.991652754590985,12,0,0,0,0,1,12,1,0.9230769230769231,04004
Boone,04,004,04004,040041000262008,Belvidere CUSD 100,Washington Academy,868,0,1,1,0.9988479262672811,38,0,0,0,0,0,38,0,1,04004
Boone,04,004,04004,040042000262001,North Boone CUSD 200,Capron Elem School,206,0,0,0,1,50,1,0,0,0,0,50,1,0.9803921568627451,04004
Winnebago,04,101,04101,04101001Z020000,Nonpublic School,Berean Baptist Christian School,223,2,0,0,0.9910313901345292,31,1,0,0,0,1,31,2,0.9393939393939394,04101
Winnebago,04,101,04101,04101003X100000,Nonpublic School,Holy Family School,435,0,0,0,1,38,0,0,0,0,0,38,0,1,04101
Winnebago,04,101,04101,04101004X060000,Nonpublic School,Concordia Lutheran School,84,0,0,0,1,43,1,0,0,0,0,43,1,0.9772727272727273,04101
